Date,Return MSFT,Return S&P,Return T-Bill
07/25/2019,-0.00751720487030173,-0.00406974820500949,0.023076923076923078
07/24/2019,0.0009245430623710649,0.0014617940199335472,0.023076923076923078
07/23/2019,-0.005328975415660082,-0.00467754777070072,0.023076923076923078
07/22/2019,-0.005714693906707703,-0.00509949005099481,0.023076923076923078
07/19/2019,0.010632947769236222,0.005259631490787247,0.023076923076923078
07/18/2019,-0.028790786948176463,-0.002732695704335632,0.023076923076923078
07/17/2019,0.009588640023422648,0.002272347535505453,0.023076923076923078
07/16/2019,0.008120060900456786,0.003167405728003163,0.023076923076923078
07/15/2019,0.0035239122617762002,0.0008308960382876894,0.023076923076923078
07/12/2019,-0.0029382255983947014,-0.0013283299571612834,0.023076923076923078
07/11/2019,0.0006468770214907167,-0.0038240281980515215,0.023076923076923078
07/10/2019,-0.004597040655078195,0.0002670405233995625,0.023076923076923078
07/09/2019,-0.01161783807187194,-0.007141426950544093,0.023076923076923078
07/08/2019,0.0009491129444403552,0.0024801694003765283,0.023076923076923078
07/05/2019,0.0016776075857039986,0.0012811060494960231,0.023076923076923078
07/03/2019,0.0029855093570232034,0.0006027323868202746,0.023076923076923078
07/02/2019,-0.008349063452882282,-0.0077973361890100535,0.023076923076923078
07/01/2019,0.0008053298191667415,0.0014503018651556775,0.023076923076923078
06/28/2019,-0.015362106803218686,-0.011349858547756986,0.023846153846153847
06/27/2019,0.0008172362555721668,-0.00507579628683362,0.023846153846153847
06/26/2019,0.0076460544874174235,0.0008559884955146202,0.023846153846153847
06/25/2019,0.013628996611168367,0.00485785638534438,0.023846153846153847
06/24/2019,0.005887055745330346,0.002893814046913716,0.023846153846153847
06/21/2019,-0.00484104046242786,0.0031909837735080377,0.023846153846153847
06/20/2019,-0.0005082407609089754,0.0026708852192745863,0.023846153846153847
06/19/2019,-0.012567194537265652,-0.008974743620939437,0.023846153846153847
06/18/2019,-0.0050761421319796786,-0.00027243316873823973,0.023846153846153847
06/17/2019,-0.011165335699497332,-0.011411247743297905,0.023846153846153847
06/14/2019,0.00044866522096763834,-0.0009992419543795067,0.023846153846153847
06/13/2019,-0.008371328200911911,0.0001724554202738984,0.023846153846153847
06/12/2019,-0.005276249340468747,-0.0024829298572316273,0.023846153846153847
06/11/2019,0.017200878987648785,0.0073981884809513464,0.023846153846153847
06/10/2019,-0.0011918951132300103,-0.0019903912148249285,0.023846153846153847
06/07/2019,-0.013648568019093171,-0.006773949522041024,0.023846153846153847
06/06/2019,-0.032362948960302465,-0.011424614851999346,0.023846153846153847
06/05/2019,-0.01641009611627721,-0.008965154964104367,0.023846153846153847
06/04/2019,-0.02057678557241601,-0.008162832608926118,0.023846153846153847
